Date-Time,Usage,Device Name,PW Estimate
2023-10-10 07:41:37,   6.8%,DRAM,  18.9 W
2023-10-10 07:41:37,   6.8%,DRAM,  4.41 W
2023-10-10 07:41:37,   6.8%,CPU misc,  1.50 W
2023-10-10 07:41:37,   6.8%,CPU misc,  1.50 W
2023-10-10 07:41:37,   6.8%,CPU core,    0 mW
2023-10-10 07:41:37,   6.8%,CPU core,    0 mW
2023-10-10 07:42:01,  12.4%,DRAM,  19.3 W
2023-10-10 07:42:01,  12.4%,DRAM,  5.61 W
2023-10-10 07:42:01,  12.4%,CPU misc,  1.77 W
2023-10-10 07:42:01,  12.4%,CPU misc,  1.77 W
2023-10-10 07:42:01,  12.4%,CPU core,    0 mW
2023-10-10 07:42:01,  12.4%,CPU core,    0 mW
2023-10-10 07:42:24,  12.2%,DRAM,  20.3 W
2023-10-10 07:42:24,  12.2%,DRAM,  5.75 W
2023-10-10 07:42:24,  12.2%,CPU misc,  1.68 W
2023-10-10 07:42:24,  12.2%,CPU misc,  1.68 W
2023-10-10 07:42:24,  12.2%,CPU core,    0 mW
2023-10-10 07:42:24,  12.2%,CPU core,    0 mW
2023-10-10 07:42:47,  12.1%,DRAM,  20.2 W
2023-10-10 07:42:47,  12.1%,DRAM,  5.89 W
2023-10-10 07:42:47,  12.1%,CPU misc,  1.80 W
2023-10-10 07:42:47,  12.1%,CPU misc,  1.80 W
2023-10-10 07:42:47,  12.1%,CPU core,    0 mW
2023-10-10 07:42:47,  12.1%,CPU core,    0 mW
2023-10-10 07:43:11,  12.0%,DRAM,  20.3 W
2023-10-10 07:43:11,  12.0%,DRAM,  5.79 W
2023-10-10 07:43:11,  12.0%,CPU misc,  1.74 W
2023-10-10 07:43:11,  12.0%,CPU misc,  1.74 W
2023-10-10 07:43:11,  12.0%,CPU core,    0 mW
2023-10-10 07:43:11,  12.0%,CPU core,    0 mW
2023-10-10 07:43:34,  11.9%,DRAM,  19.3 W
2023-10-10 07:43:34,  11.9%,DRAM,  5.36 W
2023-10-10 07:43:34,  11.9%,CPU misc,  1.60 W
2023-10-10 07:43:34,  11.9%,CPU misc,  1.60 W
2023-10-10 07:43:34,  11.9%,CPU core,    0 mW
2023-10-10 07:43:34,  11.9%,CPU core,    0 mW
2023-10-10 07:43:58,  13.1%,DRAM,  20.4 W
2023-10-10 07:43:58,  13.1%,DRAM,  6.04 W
2023-10-10 07:43:58,  13.1%,CPU misc,  1.86 W
2023-10-10 07:43:58,  13.1%,CPU misc,  1.86 W
2023-10-10 07:43:58,  13.1%,CPU core,    0 mW
2023-10-10 07:43:58,  13.1%,CPU core,    0 mW
