,Date-Time,Usage,Device Name,PW Estimate
0,2023-09-26 09:22:40,   6.0%,DRAM,  3.45 W
1,2023-09-26 09:22:40,   6.0%,CPU misc,  1.29 W
2,2023-09-26 09:22:40,   6.0%,DRAM,  1.04 W
3,2023-09-26 09:22:40,   6.0%,CPU misc,  253 mW
4,2023-09-26 09:22:40,   6.0%,CPU core,    0 mW
5,2023-09-26 09:22:40,   6.0%,CPU core,    0 mW
6,2023-09-26 09:23:08,   3.5%,DRAM,  3.07 W
7,2023-09-26 09:23:08,   3.5%,CPU misc,  1.01 W
8,2023-09-26 09:23:08,   3.5%,DRAM,  782 mW
9,2023-09-26 09:23:08,   3.5%,CPU misc,  230 mW
10,2023-09-26 09:23:08,   3.5%,CPU core,    0 mW
11,2023-09-26 09:23:08,   3.5%,CPU core,    0 mW
12,2023-09-26 09:23:38,  66.4%,DRAM,  10.3 W
13,2023-09-26 09:23:38,  66.4%,CPU misc,  6.34 W
14,2023-09-26 09:23:38,  66.4%,DRAM,  4.11 W
15,2023-09-26 09:23:38,  66.4%,CPU misc,  2.23 W
16,2023-09-26 09:23:38,  66.4%,CPU core,    0 mW
17,2023-09-26 09:23:38,  66.4%,CPU core,    0 mW
18,2023-09-26 09:24:06,   2.1%,DRAM,  2.95 W
19,2023-09-26 09:24:06,   2.1%,CPU misc,  834 mW
20,2023-09-26 09:24:06,   2.1%,DRAM,  639 mW
21,2023-09-26 09:24:06,   2.1%,CPU misc,  195 mW
22,2023-09-26 09:24:06,   2.1%,CPU core,    0 mW
23,2023-09-26 09:24:06,   2.1%,CPU core,    0 mW
24,2023-09-26 09:24:34,   2.0%,DRAM,  2.69 W
25,2023-09-26 09:24:34,   2.0%,CPU misc,  848 mW
26,2023-09-26 09:24:34,   2.0%,DRAM,  568 mW
27,2023-09-26 09:24:34,   2.0%,CPU misc,  280 mW
28,2023-09-26 09:24:34,   2.0%,CPU core,    0 mW
29,2023-09-26 09:24:34,   2.0%,CPU core,    0 mW
