,Date-Time,GPU Index,Name,Memory Total,Memory Used,Memory Free,GPU Utilization,GPU Temperature,Power Draw
0,2023-09-26 10:44:18,0,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,35,53.74 W
1,2023-09-26 10:44:18,1,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,37,40.44 W
2,2023-09-26 10:44:20,0,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,35,53.74 W
3,2023-09-26 10:44:20,1,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,37,40.22 W
4,2023-09-26 10:44:22,0,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,35,53.62 W
5,2023-09-26 10:44:22,1,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,37,40.43 W
6,2023-09-26 10:44:23,0,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,35,53.67 W
7,2023-09-26 10:44:23,1,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,37,40.37 W
8,2023-09-26 10:44:25,0,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,35,53.48 W
9,2023-09-26 10:44:25,1,NVIDIA GeForce RTX 2080 Ti,11264 MiB,0 MiB,11011 MiB,0 %,37,44.89 W
