,Date-Time,Usage,Events/s,Category,Description,PW Estimate
0,2023-09-26 09:22:40,   0.2%,112.0,Interrupt,[3] net_rx(softirq),  445 mW
1,2023-09-26 09:22:40,   0.0%,101.3,kWork,dbs_work_handler,  401 mW
2,2023-09-26 09:22:40,   0.0%, 43.9,Timer,tick_sched_timer,  174 mW
3,2023-09-26 09:22:40,   0.0%, 13.7,Timer,watchdog_timer_fn, 54.2 mW
4,2023-09-26 09:22:40,   1.7%, 0.00,Process,[PID 2439] python3, 25.9 mW
5,2023-09-26 09:22:40,   1.6%, 0.05,Process,[PID 2598] cuda-EvtHandlr, 25.3 mW
6,2023-09-26 09:22:40,   0.0%,  6.3,kWork,psi_avgs_work, 25.0 mW
7,2023-09-26 09:22:40,   1.1%, 0.05,Process,[PID 2879] powertop --csv=powertop_output.csv , 16.7 mW
8,2023-09-26 09:22:40,   0.0%,  3.9,kWork,flush_to_ldisc, 15.3 mW
9,2023-09-26 09:22:40,   0.0%,  2.7,Interrupt,[303] nvidia, 10.7 mW
10,2023-09-26 09:23:08,   0.1%, 91.1,Interrupt,[3] net_rx(softirq),  362 mW
11,2023-09-26 09:23:08,   0.0%, 74.7,kWork,dbs_work_handler,  295 mW
12,2023-09-26 09:23:08,   0.0%, 27.0,Timer,tick_sched_timer,  107 mW
13,2023-09-26 09:23:08,   0.0%, 13.5,Timer,watchdog_timer_fn, 53.6 mW
14,2023-09-26 09:23:08,   0.0%,  7.0,Interrupt,[4] block(softirq), 27.8 mW
15,2023-09-26 09:23:08,   0.0%,  6.2,kWork,psi_avgs_work, 24.8 mW
16,2023-09-26 09:23:08,   1.1%, 0.00,Process,[PID 2896] powertop --csv=powertop_output.csv , 16.4 mW
17,2023-09-26 09:23:08,   0.0%,  3.7,kWork,fb_flashcursor, 14.7 mW
18,2023-09-26 09:23:08,   0.0%,  3.4,kWork,flush_to_ldisc, 13.3 mW
19,2023-09-26 09:23:08,   0.8%, 0.00,Process,[PID 2894] python3, 13.3 mW
20,2023-09-26 09:23:38,   0.2%,398.8,kWork,dbs_work_handler,  1.58 W
21,2023-09-26 09:23:38,   0.4%,363.6,Timer,tick_sched_timer,  1.44 W
22,2023-09-26 09:23:38,  18.6%, 39.5,Process,[PID 2935] dpkg,  447 mW
23,2023-09-26 09:23:38,   0.2%,103.1,Interrupt,[176] ahci[0000:00:17.0],  409 mW
24,2023-09-26 09:23:38,   0.1%, 91.0,Interrupt,[3] net_rx(softirq),  362 mW
25,2023-09-26 09:23:38,   0.1%, 80.1,kWork,blk_mq_requeue_work,  317 mW
26,2023-09-26 09:23:38,   0.2%, 59.6,Interrupt,[4] block(softirq),  239 mW
27,2023-09-26 09:23:38,   0.1%, 25.8,Process,[PID 15] [rcu_sched],  104 mW
28,2023-09-26 09:23:38,   0.1%, 19.0,kWork,ext4_end_io_rsv_work, 76.4 mW
29,2023-09-26 09:23:38,   0.6%, 15.9,Process,[PID 2909] apt-get, 72.1 mW
30,2023-09-26 09:24:06,   0.1%, 86.2,Interrupt,[3] net_rx(softirq),  342 mW
31,2023-09-26 09:24:06,   0.0%, 60.5,kWork,dbs_work_handler,  239 mW
32,2023-09-26 09:24:06,   0.0%, 19.4,Timer,tick_sched_timer, 77.1 mW
33,2023-09-26 09:24:06,   0.0%, 13.7,Timer,watchdog_timer_fn, 54.4 mW
34,2023-09-26 09:24:06,   0.0%,  5.5,kWork,psi_avgs_work, 22.0 mW
35,2023-09-26 09:24:06,   1.0%, 0.05,Process,[PID 3652] powertop --csv=powertop_output.csv , 16.3 mW
36,2023-09-26 09:24:06,   0.0%,  3.2,kWork,fb_flashcursor, 12.8 mW
37,2023-09-26 09:24:06,   0.0%,  2.5,Process,[PID 1735] /usr/bin/containerd , 10.4 mW
38,2023-09-26 09:24:06,   0.0%,  1.9,Process,[PID 1722] /usr/bin/containerd , 8.05 mW
39,2023-09-26 09:24:06,   0.0%,  1.8,Interrupt,[4] block(softirq), 7.29 mW
40,2023-09-26 09:24:34,   0.1%, 87.8,Interrupt,[3] net_rx(softirq),  349 mW
41,2023-09-26 09:24:34,   0.0%, 66.2,kWork,dbs_work_handler,  262 mW
42,2023-09-26 09:24:34,   0.0%, 19.9,Timer,tick_sched_timer, 79.0 mW
43,2023-09-26 09:24:34,   0.0%, 13.8,Timer,watchdog_timer_fn, 54.8 mW
44,2023-09-26 09:24:34,   0.0%,  5.3,kWork,psi_avgs_work, 21.2 mW
45,2023-09-26 09:24:34,   1.0%, 0.00,Process,[PID 3659] powertop --csv=powertop_output.csv , 16.1 mW
46,2023-09-26 09:24:34,   0.0%,  2.5,Process,[PID 1735] /usr/bin/containerd , 10.5 mW
47,2023-09-26 09:24:34,   0.0%,  2.3,Process,[PID 1697] /usr/bin/containerd , 9.60 mW
48,2023-09-26 09:24:34,   0.0%,  1.5,kWork,fb_flashcursor, 6.12 mW
49,2023-09-26 09:24:34,   0.0%,  1.0,kWork,i40e_service_task, 4.05 mW
